timestamp,value
2023-05-14 00:00:00,4
2023-05-14 01:00:00,-1
2023-05-14 02:00:00,-8
2023-05-14 03:00:00,13
2023-05-14 04:00:00,72
2023-05-14 05:00:00,169
2023-05-14 06:00:00,281
2023-05-14 07:00:00,386
2023-05-14 08:00:00,458
2023-05-14 09:00:00,495
2023-05-14 10:00:00,501
2023-05-14 11:00:00,490
2023-05-14 12:00:00,466
2023-05-14 13:00:00,420
2023-05-14 14:00:00,359
2023-05-14 15:00:00,292
2023-05-14 16:00:00,230
2023-05-14 17:00:00,176
2023-05-14 18:00:00,128
2023-05-14 19:00:00,84
2023-05-14 20:00:00,44
2023-05-14 21:00:00,14
2023-05-14 22:00:00,0
2023-05-14 23:00:00,-1
2023-05-15 00:00:00,5
2023-05-15 01:00:00,-1
2023-05-15 02:00:00,-11
2023-05-15 03:00:00,5
2023-05-15 04:00:00,60
2023-05-15 05:00:00,156
2023-05-15 06:00:00,269
